Time,Driver,DriverNumber,Team,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Position,AirTemp,TrackTemp,Rainfall,Humidity,WindSpeed,WindDirection,TrackLenght,NumTurns,NumLaps,RaceDistance,Traction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard,Location,Country,Year
0 days 01:06:03.288000,ALB,23,Williams,100.548,2.0,1.0,32.027,43.725,24.796,SOFT,2.0,True,11.0,23.9,29.0,False,26.0,0.3,13,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:07:43.952000,ALB,23,Williams,100.664,3.0,1.0,32.056,43.928,24.68,SOFT,3.0,True,11.0,23.8,29.0,False,26.0,0.5,357,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:09:25.078000,ALB,23,Williams,101.126,4.0,1.0,32.05,44.161,24.915,SOFT,4.0,True,11.0,23.8,28.8,False,29.0,0.4,13,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:11:07.381000,ALB,23,Williams,102.303,5.0,1.0,32.792,44.56,24.951,SOFT,5.0,True,12.0,23.8,28.7,False,31.0,0.3,50,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:12:49.089000,ALB,23,Williams,101.708,6.0,1.0,32.22,44.522,24.966,SOFT,6.0,True,12.0,23.7,28.3,False,33.0,0.2,314,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:14:30.650000,ALB,23,Williams,101.561,7.0,1.0,32.192,44.463,24.906,SOFT,7.0,True,12.0,23.6,28.3,False,34.0,0.2,12,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:16:13.747000,ALB,23,Williams,103.097,8.0,1.0,32.585,45.304,25.208,SOFT,8.0,True,13.0,23.6,28.3,False,35.0,0.3,354,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:17:55.896000,ALB,23,Williams,102.149,9.0,1.0,31.988,44.929,25.232,SOFT,9.0,True,13.0,23.5,28.1,False,36.0,0.1,339,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:19:39.396000,ALB,23,Williams,103.5,10.0,1.0,32.812,45.53,25.158,SOFT,10.0,True,14.0,23.4,28.0,False,36.0,0.2,26,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:21:21.984000,ALB,23,Williams,102.588,11.0,1.0,32.541,44.944,25.103,SOFT,11.0,True,14.0,23.3,28.0,False,36.0,0.1,357,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:23:04.489000,ALB,23,Williams,102.505,12.0,1.0,32.372,45.021,25.112,SOFT,12.0,True,13.0,23.3,27.9,False,37.0,0.1,258,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:28:29.833000,ALB,23,Williams,99.517,15.0,2.0,31.615,43.501,24.401,MEDIUM,2.0,True,19.0,23.2,27.8,False,38.0,0.2,31,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:30:09.997000,ALB,23,Williams,100.164,16.0,2.0,31.87,43.81,24.484,MEDIUM,3.0,True,19.0,23.1,27.7,False,38.0,0.2,54,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:31:50.262000,ALB,23,Williams,100.265,17.0,2.0,31.911,43.769,24.585,MEDIUM,4.0,True,19.0,23.0,27.8,False,38.0,0.1,65,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:33:30.487000,ALB,23,Williams,100.225,18.0,2.0,31.863,43.823,24.539,MEDIUM,5.0,True,18.0,22.9,27.8,False,38.0,0.2,1,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:35:11.287000,ALB,23,Williams,100.8,19.0,2.0,31.88,44.143,24.777,MEDIUM,6.0,True,16.0,22.8,27.9,False,38.0,0.3,69,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
0 days 01:36:51.526000,ALB,23,Williams,100.239,20.0,2.0,31.663,43.927,24.649,MEDIUM,7.0,True,16.0,22.7,27.7,False,38.0,0.4,78,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2022
