Time,Driver,DriverNumber,Team,LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,FreshTyre,Position,AirTemp,TrackTemp,Rainfall,Humidity,WindSpeed,WindDirection,TrackLenght,NumTurns,NumLaps,RaceDistance,Traction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard,Location,Country,Year
0 days 01:03:22.919000,ALB,23,Williams,98.826,2.0,1.0,31.419,43.106,24.301,SOFT,2.0,True,11.0,18.3,23.8,False,49.0,0.9,28,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:05:01.426000,ALB,23,Williams,98.507,3.0,1.0,31.002,43.081,24.424,SOFT,3.0,True,11.0,18.3,23.8,False,49.0,1.5,89,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:06:39.848000,ALB,23,Williams,98.422,4.0,1.0,31.023,43.007,24.392,SOFT,4.0,True,11.0,18.3,23.8,False,49.0,1.0,32,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:08:18.357000,ALB,23,Williams,98.509,5.0,1.0,31.049,43.027,24.433,SOFT,5.0,True,11.0,18.3,23.6,False,49.0,0.7,37,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:09:56.932000,ALB,23,Williams,98.575,6.0,1.0,31.034,43.141,24.4,SOFT,6.0,True,11.0,18.3,23.5,False,50.0,1.1,236,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:11:35.903000,ALB,23,Williams,98.971,7.0,1.0,31.498,43.186,24.287,SOFT,7.0,True,11.0,18.3,23.5,False,49.0,0.6,0,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:13:14.563000,ALB,23,Williams,98.66,8.0,1.0,31.493,42.899,24.268,SOFT,8.0,True,11.0,18.3,23.7,False,50.0,0.5,10,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:14:53.215000,ALB,23,Williams,98.652,9.0,1.0,31.458,42.976,24.218,SOFT,9.0,True,11.0,18.2,23.5,False,50.0,0.4,98,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:18:11.002000,ALB,23,Williams,98.835,11.0,1.0,31.49,42.923,24.422,SOFT,11.0,True,11.0,18.2,23.5,False,50.0,0.5,330,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
0 days 01:19:49.936000,ALB,23,Williams,98.934,12.0,1.0,31.51,43.065,24.359,SOFT,12.0,True,9.0,18.2,23.4,False,50.0,0.6,155,5.412,15,57,308.238,4,3,5,4,3,4,3,3,C3,C2,C1,Sakhir,Bahrain,2024
