Driver,Team,LapTime,LapNumber,Stint,TyreLife,FreshTyre,Compound,TrackTemp,AirTemp,Sector1Time,Sector2Time,Sector3Time,Location,Year,Country,EventName,EventDate,TrackLenght,NumTurns,RaceDistance,NumLaps,Taction,AsphaltGrip,AsphaltAbrasion,TrackEvolution,TyreStress,Braking,LateralLoad,Downforce,Soft,Medium,Hard
MAG,Haas F1 Team,81.243,2.0,1.0,2.0,True,SOFT,31.3,23.8,28.169,18.525,34.549,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ALB,Williams,81.152,2.0,1.0,2.0,True,SOFT,31.3,23.8,27.917,18.245,34.99,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
MSC,Haas F1 Team,81.125,2.0,1.0,2.0,True,SOFT,31.3,23.8,27.773,18.442,34.91,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
TSU,AlphaTauri,80.6,2.0,1.0,2.0,True,SOFT,31.3,23.8,27.659,18.291,34.65,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
GAS,AlphaTauri,81.31,2.0,1.0,2.0,True,SOFT,31.3,23.8,28.085,18.413,34.812,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
LEC,Ferrari,79.391,2.0,1.0,2.0,True,SOFT,31.3,23.8,27.539,17.955,33.897,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
ZHO,Alfa Romeo,80.849,2.0,1.0,2.0,True,SOFT,31.3,23.8,28.016,18.271,34.562,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
NOR,McLaren,79.764,2.0,1.0,2.0,True,SOFT,31.1,23.7,27.502,18.225,34.037,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
SAI,Ferrari,79.179,3.0,1.0,3.0,True,SOFT,31.1,23.8,27.294,17.936,33.949,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
VER,Red Bull Racing,79.406,2.0,1.0,2.0,True,SOFT,31.1,23.8,27.465,17.997,33.944,Melbourne,2022,Australia,Australian Grand Prix,2025-03-16,5.278,14,306.124,58,2,2,2,3,3,2,3,3,C5,C4,C3
